model,scenario,fold,rmse,nll,sigma,n_test
static,history,1,0.04323227686452434,-1.6156194085805704,0.03220319889607291,2592
history,history,1,0.027744546507949254,-2.1637055030718177,0.026528005379732707,2592
static,history,2,0.04549683063070157,-1.5246644336211685,0.0323975821608184,2592
history,history,2,0.0270970905125508,-2.188993821894301,0.026566307780210883,2592
static,history,3,0.04172531742003381,-1.683824146566786,0.03251961272816379,2592
history,history,3,0.02775027310118456,-2.162794446371713,0.02634982330606453,2592
static,history,4,0.04140850700300119,-1.6974808087406437,0.032583013895506566,2592
history,history,4,0.027427576534248765,-2.176463208148104,0.026667600857957705,2592
static,history,5,0.04242974959631104,-1.6513622567800494,0.032318027576758245,2592
history,history,5,0.02766971836878119,-2.1671043103483933,0.02667497544804531,2592
static,history,6,0.04832036462963095,-1.390457731954111,0.032188596942649604,2592
history,history,6,0.028929821529622764,-2.110591572199659,0.02588349845703239,2592
static,no_history,1,0.03789400635832047,-1.8374239315192702,0.03349031167651873,2592
history,no_history,1,0.03547812113595328,-1.9170064390839898,0.03365181363457128,2592
static,no_history,2,0.035347298286792575,-1.9209516901902983,0.03360507420331222,2592
history,no_history,2,0.0351418210701403,-1.927211398196907,0.03355114703360004,2592
static,no_history,3,0.037198105032160665,-1.862564196677404,0.033767798866109706,2592
history,no_history,3,0.03530616053471896,-1.9225730477679153,0.033717529211723336,2592
static,no_history,4,0.0355594162199074,-1.9137770238709293,0.03346607039746944,2592
history,no_history,4,0.035685097842216414,-1.9091448061132676,0.033316915165498194,2592
static,no_history,5,0.0350550330978714,-1.9300345558310015,0.033594723208220746,2592
history,no_history,5,0.03517688394844028,-1.9260272745736047,0.03352137869774251,2592
static,no_history,6,0.03653853897422611,-1.8827607170602434,0.033554578835085225,2592
history,no_history,6,0.03597213543067928,-1.9023708646928532,0.03388985789131109,2592
